title,brand,image_url,priced_before,discount_percent,current_price,size
Handloom Bengal Cotton Silk Jamdani Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc2/h68/15520032456734/-286Wx359H-460542904-purple-MODEL.jpg,4999,50% off,2500,[FS]
Typographic Print T-shirt with Embellishment,DNMX,https://assets.ajio.com/medias/sys_master/root/h66/h62/15786856775710/-286Wx359H-441055186-black-MODEL.jpg,399,40% off,239,[XS-S-M-L-XL]
Lightly Washed Slim Fit Jeans,YB DNMX,https://assets.ajio.com/medias/sys_master/root/hab/he1/14510966505502/-286Wx359H-441018126-mediumblue-MODEL.jpg,849,49% off,433,[7-8Y-9-10Y-11-12Y-13-14Y-15-16Y]
Floral Print Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/hdc/hbf/16980419543070/-286Wx359H-441064180-teal-MODEL.jpg,499,30% off,349,[XS-S-M-L-XL-XXL]
Cuffed Trousers with Drawstring Waistband,FIG,https://assets.ajio.com/medias/sys_master/root/h6f/h69/15129406341150/-286Wx359H-441038436-black-MODEL.jpg,899,40% off,539,[S-M-L-XXL]
Numeric Print Shorts with Contrast Elasticated Drawstring Waist,KB TEAM SPIRIT,https://assets.ajio.com/medias/sys_master/root/h75/h0a/16527671132190/-286Wx359H-440995278-anthramelange-MODEL.jpg,249,25% off,187,[2-3Y-3-4Y-5-6Y-7-8Y]
Checked Shirt with Patch Pocket,DNMX,https://assets.ajio.com/medias/sys_master/root/h52/hd2/13997033848862/-286Wx359H-441007284-navy-MODEL.jpg,699,51% off,343,[XS-S-M-L-XL-XXL]
Washed 5-Pocket Jeans,KG FRENDZ,https://assets.ajio.com/medias/sys_master/root/h37/hd1/14626827010078/-286Wx359H-441017162-ltblue-MODEL.jpg,549,49% off,280,[2-3Y-3-4Y-5-6Y-7-8Y]
Floral Print Leggings with Elasticated Waist,KG FRENDZ,https://assets.ajio.com/medias/sys_master/root/h42/had/12568435228702/-286Wx359H-440954862-orange-MODEL.jpg,199,51% off,98,[5-6Y-2-3Y-3-4Y-7-8Y]
Mid-Calf Skinny Jeans,RIO,https://assets.ajio.com/medias/sys_master/root/h93/hd5/14850646999070/-286Wx359H-441022319-pink-MODEL.jpg,999,49% off,509,[26-28-30-32]
Mid-Rise Tights with Contrast Stripes,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h58/h76/15367421493278/-286Wx359H-441037125-navy-MODEL.jpg,599,30% off,419,[S-M-L-XXL]
Camisole with Lace Strap,DNMX,https://assets.ajio.com/medias/sys_master/root/hcb/hd2/15155480461342/-286Wx359H-441037178-wine-MODEL.jpg,299,40% off,179,[S-M]
Schffli Pants with Lace Hems,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/hb0/ha9/14801251598366/-286Wx359H-441023584-black-MODEL.jpg,899,49% off,458,[S-M-L]
Printed Top with Tassel Sleeve Tie-Ups,DNMX,https://assets.ajio.com/medias/sys_master/root/hbd/h58/15262880628766/-286Wx359H-441025031-blue-MODEL.jpg,699,40% off,419,[S-M-L]
Printed Straight Kurti with Curved Hemline,FUSION,https://assets.ajio.com/medias/sys_master/root/h9b/h3e/14491634958366/-286Wx359H-441031341-maroon-MODEL.jpg,499,45% off,274,[XS-S-M-L-XL-XXL]
Floral Print Mid-Rise Leggings,RIO GIRLS,https://assets.ajio.com/medias/sys_master/root/hcc/hce/13790986895390/-286Wx359H-441007271-navy-MODEL.jpg,299,NA,299,[8-9Y-9-10Y-11-12Y-13-14Y-15-16Y]
Graphic Print Crew-Neck T-shirt,DNMX,https://assets.ajio.com/medias/sys_master/root/h18/h04/15084988203038/-286Wx359H-441037207-peach-MODEL.jpg,299,40% off,179,[XS-S-M-L-XL]
Colourblock Polo T-shirt,KB TEAM SPIRIT,https://assets.ajio.com/medias/sys_master/root/hb0/h2e/15439071313950/-286Wx359H-441010277-blue-MODEL.jpg,449,49% off,229,[2-3Y]
